Numero,Compuesto bioactivo,Base de datos,SMILES,TIPO DE SMILES,Actividad anticancerígena,Enlaces del artículo de PubMed
1,Apigenina,PubChem,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,Canónico,Inhibición de células cancerígenas.,https://pmc.ncbi.nlm.nih.gov/articles/PMC9505045/#sec3-molecules-27-06051
,,,,,,
2,Luteolina,PubChem,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,Canónico,"Inhibir la proliferación, la metástasis y la invasión de células tumorales y la angiogénesis por varios mecanismos, incluyendo la supresión de quinasas, la promoción de la apoptosis, la regulación del ciclo celular tumoral y la reducción de factores de transcripción.",https://pmc.ncbi.nlm.nih.gov/articles/PMC10057337/#sec4-vaccines-11-00554
,,,,,,
3,Escopoletina,Pubchem,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,Canónico,"Inhibición antiproliferación, antimigración, proapoptótica, antiinvasión y antiangiogénica de la resistencia a múltiples fármacos.",https://www.frontiersin.org/journals/pharmacology/articles/10.3389/fphar.2024.1268464/full
,,,,,,
4,Betulina,PubChem,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)CO,Isomérico,Inhibir el crecimiento de células cancerosas.,https://pmc.ncbi.nlm.nih.gov/articles/PMC4383233/#sec1
,,,,,,
5,Betulinaldehido,ChEMBL,C=C(C)[C@@H]1CC[C@]2(C=O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,Isomérico,"Inhibir significativamente la actividad oncológica de las células A549 al regular el nivel de autofagia intracelular, lo que lo convierte en una opción potencialmente eficaz para la terapia adyuvante en el tratamiento del cáncer de pulmón.",https://pubmed.ncbi.nlm.nih.gov/36639415/
6,Fitol,PubChem,C[C@@H](CCC[C@@H](C)CCC/C(=C/CO)/C)CCCC(C)C,Isomérico,Ayudar a prevenir el cáncer.,https://pmc.ncbi.nlm.nih.gov/articles/PMC7012361/
,,,,,,
7,Efusanina A,PubChem,CC1(CC[C@@H]([C@]23[C@@H]1[C@@H]([C@]([C@]45[C@H]2CC[C@H](C4)C(=C)C5=O)(OC3)O)O)O)C,Isomérico,"La efusanina B inhibió la proliferación y la migración de células A549 al inducir la apoptosis mitocondrial y afectar las vías STAT3/FAK. Estudios mecanísticos mostraron que la efusanina B inhibió la fosforilación de STAT3 y regulaba la expresión de proteínas posteriores, como Bcl-2, Bax, Mcl-1 y Ciclina D1. Se descubrió que la efusanina B inhibe la migración celular al suprimir la fosforilación de FAK. Además, la efusanina B inhibió la proliferación y la metástasis de células A549 in vivo y demostró efectos antiangiogénicos in vivo.",https://pmc.ncbi.nlm.nih.gov/articles/PMC10707445/#sec5-molecules-28-07682
,,,,,,
8,_-sitosterol,PubChem,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,Isomérico,"Tiene efectos quimiosensibilizadores en células cancerosas, interfiriendo con múltiples vías de señalización celular implicadas en la proliferación, la detención del ciclo celular, la apoptosis, la supervivencia, la invasión de metástasis, la angiogénesis y la inflamación.",https://pubmed.ncbi.nlm.nih.gov/37929761/
9,Estigmasterol,PubChem,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,Isomérico,"Promover la apoptosis, inhibir la proliferación, la metástasis y la invasión, e inducir la autofagia en las células tumorales.",https://pmc.ncbi.nlm.nih.gov/articles/PMC9791061/
,,,,,,
10,Juncusol,PubChem,CC1=C(C=CC2=C1CCC3=CC(=C(C(=C32)C=C)C)O)O,Canónico,Actividad antiproliferativa en la línea celular de cáncer cervical humano.,https://www.nature.com/articles/s41598-022-18063-5
11,Effusol,Pubchem,CC1=C(C=CC2=C1CCC3=C2C(=CC(=C3)O)C=C)O,Canónico,,
12,Ginsenoside Rb1,Pubchem,CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](C[C@H]3[C@]2(CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)C)O)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O)O)O)C,Isomérico,Inhibe la proliferación y la migración e induce la apoptosis de las células de cáncer de pulmón 95D y NCI-H460 al regular la vía apoptótica mitocondrial para lograr actividad antitumoral.,https://pubmed.ncbi.nlm.nih.gov/38465430/
