,N°,Compuesto,IUPAC,Formula,SMILE,Plantas a las que pertenecen,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,1,Apigenina,"5,7-dihidroxi-2-(4-hidroxifenil)cromen-4-ona",C15H10O5,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,1; 5;14;22;24;28,12.02090955,12.02090955,0.018822541,-0.410347222,0.631832936,10.8,270.24,260.16,270.0528234,100,0,0.196579154,-0.507966213,0.507966213,0.196579154,0.85,1.55,2.25,16.3408728,10.10713253,2.114961295,-2.048911185,2.302073656,-2.001356127,5.854877504,0.452070654,2.375360588,2.289397286,846.5071387,14.2756564,10.19958925,10.19958925,9.541713896,5.836610842,5.836610842,4.359807077,4.359807077,2.946443621,2.946443621,2.021882176,2.021882176,-2.95,38062.77807,12.10276211,4.307802294,1.948260708,112.519202,19.73673312,33.97802727,5.428790392,0,0,0,4.794537184,0,0,0,0,24.26546827,23.7625527,0,19.73673312,10.96924436,0,0,0,0,0,52.68789706,0,28.57223441,5.428790392,0,17.2485355,0,15.31958218,0,0,0,51.6762576,0,22.29294327,0,90.9,5.428790392,20.11411937,0,33.97802727,5.563451492,6.066367068,24.26546827,12.13273414,0,0,4.417150937,5.528562925,0,12.02090955,28.38546305,0.286604308,-0.132696995,9.744490492,0,0,0,0,20,3,5,0,0,0,0,2,1,3,0,0,5,3,5,1,1,0,0,0,0,0,2.606815318,3,2.5768,72.9144,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,Luteolina,"2-(3,4-dihidroxifenil)-5,7-dihidroxicromen-4-ona",C15H10O6,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,1;5;14;17;18;22;23;24;28;32;40,12.04333727,12.04333727,0.0162637,-0.489523337,0.510622347,10.85714286,286.239,276.159,286.047738,106,0,0.196579174,-0.507678166,0.507678166,0.196579174,0.80952381,1.571428571,2.285714286,16.34152907,10.10012122,2.126193814,-2.058357717,2.330619202,-2.001886558,5.85595546,0.403552811,2.400453973,2.294345957,909.916285,15.14589989,10.56945258,10.56945258,9.952397498,5.976884306,5.976884306,4.516426576,4.516426576,3.054552955,3.054552955,2.072890025,2.072890025,-3.15,56060.20208,12.86225184,4.447829199,2.121592092,117.3134358,24.84326052,28.22851544,16.92781406,0,0,0,4.794537184,0,0,0,0,18.19910121,23.7625527,0,24.84326052,10.96924436,0,0,0,0,0,46.62152999,0,34.32174624,5.428790392,0,22.99804733,0,20.42610958,0,0,0,45.60989053,0,22.29294327,0,111.13,5.428790392,25.22064676,0,39.72753911,5.563451492,12.13273414,24.26546827,0,0,0,4.417150937,5.472451814,0,12.04333727,37.85225638,-0.105544218,-1.13270025,7.370199004,0,0,0,0,21,4,6,0,0,0,0,2,1,3,0,0,6,4,6,1,1,0,0,0,0,0,2.724242824,3,2.2824,74.5792,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,Escopoletina,7-hidroxi-6-metoxicromen-2-ona,C10H8O4,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,1;11,10.86964908,10.86964908,0.046898148,-0.442530707,0.695448164,10.35714286,192.17,184.106,192.0422587,72,0,0.335692575,-0.504161507,0.504161507,0.335692575,1.357142857,2.142857143,2.857142857,16.47450086,10.19006651,2.047227659,-2.031565374,2.29569427,-1.941331227,5.799662817,0.37326922,2.163052509,2.790435294,527.1233034,10.12939203,7.481359544,7.481359544,6.7027086,4.01373581,4.01373581,2.816314032,2.816314032,1.920815796,1.920815796,1.247285731,1.247285731,-1.97,1791.007477,8.620407991,3.064077896,1.305433443,79.35212767,14.26054129,5.583020142,11.49902367,0,0,5.625586319,0,4.794537184,0,0,0,12.13273414,17.51895835,7.109797541,14.26054129,10.96924436,0,0,0,0,7.109797541,34.68559178,0,11.49902367,10.36244927,0,11.49902367,0,12.21632494,0,0,0,33.47715639,0,10.96924436,0,59.67,5.625586319,9.901064579,0,5.749511833,16.71875619,0,19.24253168,12.13273414,0,0,9.154013891,9.784358229,0,10.86964908,10.12002079,-0.099197373,0.306202759,5.893969199,0,0,1.458330656,0.1,14,1,4,0,0,0,0,1,1,2,0,0,4,1,4,1,1,0,0,0,0,0,1.886685827,2,1.5072,50.7008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,Betulina,"(1 R ,3 a S ,5 a R ,5 b R ,7 a R ,9 S ,11 a R ,11 b R ,13 a R ,13 b R )-3 a -(hidroximetil)-5 a ,5 b ,8,8,11 a -pentametil-1-prop-1-en-2-il-1,2,3,4,5,6,7,7 a ,9,10,11,11 b ,12,13,13 a ,13 b -hexadecahidrociclopenta[a]crisen-9-ol",C30H50O2,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)CO,1,10.89621312,10.89621312,0.028958883,-0.146739214,0.452089245,56.5,442.728,392.328,442.3810808,182,0,0.05937486,-0.395786964,0.395786964,0.05937486,0.8125,1.53125,2.1875,16.26862164,9.320065963,2.702229728,-2.72565483,2.769585699,-2.663855228,5.210720311,-0.248930323,3.120242415,1.548850733,785.7010978,23.31962648,21.84381018,21.84381018,14.87244533,13.81660959,13.81660959,14.58207341,14.58207341,13.53375859,13.53375859,11.54792374,11.54792374,-0.34,13174983.34,23.40413173,7.094264935,2.662335393,197.192281,10.21305479,0,0,0,0,0,0,0,0,0,46.77072621,127.796436,6.606881965,6.103966388,10.21305479,0,0,0,56.66448258,111.8546058,6.606881965,12.15204021,0,0,0,0,0,0,22.92390314,0,56.66448258,105.7506394,12.15204021,0,0,0,40.46,0,10.21305479,0,16.93394733,40.60557151,18.25663372,63.36049914,0,0,48.12135888,0,0,0,0,21.54307363,2.601419853,3.328986808,0,12.21750363,19.72568275,0,0.933333333,32,2,2,5,0,5,0,0,0,0,10,0,2,2,2,0,2,5,0,5,0,0,5.188597221,5,6.9972,132.0616,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,Betulinaldehido,"(1 R ,3 a S ,5 a R ,5 b R ,7 a R ,9 S ,11 a R ,11 b R ,13 a R ,13 b R )-9-hidroxi-5 a ,5 b ,8,8,11 a -pentametil-1-prop-1-en-2-il-1,2,3,4,5,6,7,7 a ,9,10,11,11 b ,12,13,13 a ,13 b -hexadecahidrociclopenta[a]criseno-3 a -carbaldehído",C30H48O2,C=C(C)[C@@H]1CC[C@]2(C=O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1,12.56069154,12.56069154,0.015694421,-0.15781589,0.363867731,56.34375,440.712,392.328,440.3654308,180,0,0.125950349,-0.392562008,0.392562008,0.125950349,0.84375,1.5625,2.21875,16.26839472,9.320368534,2.703620529,-2.723414337,2.767986337,-2.662914567,5.617002308,-0.24503581,3.120242415,1.555872797,813.6492337,23.31962648,21.67508836,21.67508836,14.87244533,13.67120582,13.67120582,14.41260147,14.41260147,13.34544232,13.34544232,11.39366086,11.39366086,-0.63,13174983.34,23.12778188,6.955693527,2.598956753,196.5595694,9.901064579,6.286160523,0,0,0,0,0,0,0,0,46.77072621,122.3814455,5.414990469,6.103966388,9.901064579,6.286160523,0,0,56.66448258,111.8546058,0,12.15204021,0,0,0,0,0,0,17.49665431,4.794537184,56.66448258,105.7506394,12.15204021,0,0,0,37.3,0,9.901064579,0,16.93394733,39.91659559,31.60119254,50.38419479,0,0,48.12135888,0,0,0,12.56069154,10.88682374,2.202033492,3.026429331,0,13.05708867,19.18359989,0,0.9,32,1,2,5,0,5,0,0,0,0,10,0,2,1,2,0,2,5,0,5,0,0,5.027180086,5,7.2038,131.0398,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,Fitol o phytol,"( E ,7R , 11R ) -3,7,11,15-tetrametilhexadec-2-en-1-ol",C20H40O,C[C@@H](CCC[C@@H](C)CCC/C(=C/CO)/C)CCCC(C)C,1,8.82873281,8.82873281,0.190560021,0.190560021,0.391756071,15.47619048,296.539,256.219,296.3079159,126,0,0.061443327,-0.392297371,0.392297371,0.061443327,0.80952381,1.285714286,1.761904762,16.24950109,9.914014115,2.061403675,-2.14713654,2.214288072,-1.999054612,4.968090186,0.340915254,2.381477632,3.516209888,254.5640291,16.08757567,15.32768248,15.32768248,9.95159616,9.217347111,9.217347111,7.591277127,7.591277127,4.580031183,4.580031183,2.965272264,2.965272264,-0.3,25436.56258,20.7,13.36896311,14.40363369,133.7777819,5.106527395,0,0,0,0,0,0,0,0,0,84.2898248,37.51909858,0,6.606881965,5.106527395,0,0,0,17.75371814,92.4060806,6.606881965,11.64912464,0,0,0,0,0,0,11.71340936,0,17.75371814,92.4060806,11.64912464,0,0,0,20.23,0,0,0,6.606881965,0,24.17453976,56.93967751,0,6.076020107,34.618686,5.106527395,0,0,0,8.82873281,1.336550672,2.625957736,0,14.09170929,11.78371616,0,0.9,21,1,1,0,0,0,0,0,0,0,2,0,1,1,1,0,13,0,0,0,0,0,13.17797792,0,6.3641,95.5618,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,Efusanina A,"(1 S ,2 S ,5 R ,8 S ,9 S ,10 S ,11 R ,15 S )-9,10,15-trihidroxi-12,12-dimetil-6-metilideno-17-oxapentaciclo[7.6.2.1 5,8 .0 1,11 .0 2,8 ]octadecan-7-ona",C20H28O5,CC1(CC[C@@H]([C@]23[C@@H]1[C@@H]([C@]([C@]45[C@H]2CC[C@H](C4)C(=C)C5=O)(OC3)O)O)O)C,1,13.29049769,13.29049769,0.061591317,-1.867453704,0.576271525,58.84,348.439,320.215,348.193674,138,0,0.205387673,-0.392434676,0.392434676,0.205387673,1.2,1.92,2.64,16.64501526,9.358573367,2.837150027,-2.737690535,2.758932035,-2.831689311,6.037161169,-0.448177772,2.753554862,1.785340525,685.5739978,17.99119935,14.99463618,14.99463618,11.62733374,9.588194002,9.588194002,9.919749515,9.919749515,8.806959638,8.806959638,7.817052724,7.817052724,-0.75,517552.6648,16.42558149,4.382230815,1.444614769,147.612161,20.05644514,6.103966388,5.783244946,5.787111153,0,0,4.794537184,0,0,0,20.42641008,54.92801521,11.33289652,18.12583882,24.85098232,5.783244946,0,0,33.99868955,63.94662644,6.606881965,12.15204021,0,0,0,0,0,0,45.70475302,9.531400138,33.99868955,45.95158251,12.15204021,0,0,0,86.99,28.82502487,20.11411937,0,35.55883552,18.41474778,19.26246487,0,0,0,20.42641008,4.736862954,5.89337963,0,13.29049769,33.99867252,-1.475210105,-2.393158777,0,1.771544785,8.414274258,0,0.85,25,3,5,4,2,6,0,0,0,0,8,4,5,3,5,2,0,4,2,6,2,0,2.879227574,6,1.4048,89.2644,0,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8,_-sitosterol,"( 3S ,8S , 9S , 10R , 13R , 14S , 17R ) -17-[(2R , 5R ) -5-etil-6-metilheptan-2-il]-10,13-dimetil-2,3,4,7,8,9,11,12,14,15,16,17-dodecahidro-1H- ciclopenta [a]fenantren-3-ol",C29H50O,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,1;9;29,10.24630669,10.24630669,0.079418717,-0.079418717,0.436095642,45.33333333,414.718,364.318,414.3861662,172,0,0.057740057,-0.392796685,0.392796685,0.057740057,1,1.766666667,2.466666667,16.26594658,9.466332867,2.585612298,-2.5808684,2.669078202,-2.504066287,5.24988548,-0.057491076,3.056125056,1.473146004,634.2748375,21.6814338,20.92154061,20.92154061,14.20237971,13.57853343,13.57853343,12.85131142,12.85131142,11.29812663,11.29812663,9.303999769,9.303999769,-0.3,5568103.989,22.87835199,8.566935876,3.736228854,187.0389363,5.106527395,0,0,0,0,0,0,0,0,0,66.03319108,110.0427179,0,6.103966388,5.106527395,0,0,0,52.25532326,118.2754274,0,11.64912464,0,0,0,0,0,0,11.21049378,0,52.25532326,112.1714611,11.64912464,0,0,0,20.23,0,5.106527395,0,6.103966388,10.82998094,54.26698557,57.78739461,5.57310453,0,47.6184433,0,0,0,0,10.24630669,2.585870339,6.307361315,0,17.10168647,15.09210852,0,0.931034483,30,1,1,4,0,4,0,0,0,0,9,0,1,1,1,0,6,3,0,3,0,0,6.533245815,4,8.0248,128.2168,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,Estigmasterol,"(3S,8S,9S,10R,13R,14S,17R)-17-[(E,2R,5S)-5-etil-6-metilhept-3-en-2-il]-10,13-dimetil-2,3,4,7,8,9,11,12,14,15,16,17-dodecahidro-1H-ciclopenta[a]fenantren-3-ol",C29H48O,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,1,10.23987589,10.23987589,0.087023171,-0.087023171,0.456599844,45.6,412.702,364.318,412.3705162,170,0,0.057740057,-0.392796685,0.392796685,0.057740057,1.033333333,1.8,2.5,16.26594632,9.467031346,2.584615626,-2.57988924,2.667323249,-2.503378283,5.251723717,-0.054042338,3.056125056,1.520117543,673.8510644,21.6814338,20.66202759,20.66202759,14.20237971,13.26203685,13.26203685,12.44446915,12.44446915,10.77550633,10.77550633,8.827766544,8.827766544,-0.56,5568103.989,22.62743358,8.416812456,3.655528089,186.3493333,5.106527395,0,0,0,0,0,0,0,0,0,65.34358805,110.0427179,0,6.103966388,5.106527395,0,0,0,52.25532326,105.4337842,0,23.80116485,0,0,0,0,0,0,11.21049378,0,52.25532326,99.3298178,23.80116485,0,0,0,20.23,0,5.106527395,0,6.103966388,16.74788698,48.34907952,44.94575136,5.57310453,0,59.77048352,0,0,0,0,10.23987589,2.50946216,5.696640652,0,19.0808634,14.80649124,0,0.862068966,30,1,1,4,0,4,0,0,0,0,9,0,1,1,1,0,5,3,0,3,0,0,6.34836216,4,7.8008,128.1228,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,Juncusol,"5-etenil-1,6-dimetil-9,10-dihidrofenantreno-2,7-diol",C18H18O2,CC1=C(C=CC2=C1CCC3=CC(=C(C(=C32)C=C)C)O)O,1,10.04611998,10.04611998,0.331111374,0.331111374,0.814640991,12.7,266.34,248.196,266.1306798,102,0,0.118898751,-0.507675873,0.507675873,0.118898751,1.05,1.8,2.5,16.25725616,9.794033404,2.228017177,-2.250936608,2.427874397,-2.079038874,5.847573683,0.468159417,2.439360388,2.394004795,726.9285733,14.43879311,11.82514861,11.82514861,9.540912558,6.839277673,6.839277673,5.408417936,5.408417936,4.377282901,4.377282901,3.174811721,3.174811721,-2.22,39795.72537,12.79567189,4.410306001,1.644766646,118.5711833,10.21305479,11.49902367,0,0,0,0,0,0,0,0,18.72132286,77.76601222,0,0,10.21305479,6.076020107,0,0,0,26.68911765,0,52.59529435,0,22.62592665,0,0,11.49902367,0,10.21305479,12.84164325,13.8474744,27.81725746,24.77803689,0,17.20292309,0,40.46,0,10.21305479,0,0,11.49902367,46.2223522,5.563451492,6.066367068,32.05622864,6.578935684,0,0,0,0,19.93441306,7.460868292,0.680975582,5.583601663,3.577514172,7.762627236,0,0.222222222,20,2,2,1,0,1,0,2,0,2,0,0,2,2,2,0,1,0,0,0,0,0,2.821641425,3,4.12324,82.1806,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
